City,PM2.5,PM10,CO,NO2,SO2,O3,Temperature,Humidity,AQI,Category
Delhi,161.7,18.5,1.38,30.7,59.4,96.4,38.5,26.5,102.2,Unhealthy for Sensitive Groups
Delhi,28.0,89.1,2.79,69.5,57.8,99.7,23.4,53.7,72.6,Moderate
Hyderabad,190.9,64.3,2.02,37.0,18.8,108.1,13.3,48.5,128.5,Unhealthy for Sensitive Groups
Hyderabad,152.9,284.4,3.34,66.7,77.9,56.1,27.7,82.2,190.3,Unhealthy
Hyderabad,146.5,249.6,0.4,31.2,24.6,15.8,17.4,27.6,132.6,Unhealthy for Sensitive Groups
Lucknow,44.9,130.8,3.08,85.7,55.3,14.6,30.3,60.1,88.2,Moderate
Hyderabad,98.0,346.4,2.95,69.0,55.4,118.8,34.8,37.2,163.4,Unhealthy
Kolkata,103.3,32.5,4.13,70.2,58.0,33.7,26.0,86.4,109.5,Unhealthy for Sensitive Groups
Patna,69.9,93.9,2.61,35.2,47.6,126.2,22.8,36.4,108.7,Unhealthy for Sensitive Groups
Lucknow,125.9,267.0,3.9,22.6,14.5,96.9,29.1,48.9,168.8,Unhealthy
Mumbai,134.6,340.2,3.9,6.3,58.2,97.0,27.2,40.0,193.4,Unhealthy
Bengaluru,76.9,63.8,0.21,88.0,58.1,136.2,34.4,58.1,67.8,Moderate
Lucknow,211.2,182.6,1.06,48.0,14.6,133.7,39.5,88.9,169.9,Unhealthy
Lucknow,9.8,325.9,3.98,100.6,26.0,12.8,38.1,91.0,123.4,Unhealthy for Sensitive Groups
Chennai,204.9,342.5,2.49,19.5,53.5,132.8,15.3,59.6,217.4,Very Unhealthy
Chennai,232.6,266.8,3.17,87.0,33.1,95.7,21.9,87.5,217.7,Very Unhealthy
Hyderabad,60.1,124.9,2.73,31.5,19.2,14.6,30.2,37.2,99.6,Moderate
Pune,22.4,90.9,3.08,29.6,12.3,131.3,28.3,55.5,80.6,Moderate
Pune,51.7,43.0,2.05,53.7,38.4,103.4,31.5,93.8,56.7,Moderate
Mumbai,183.4,282.2,0.67,27.0,43.8,23.9,15.9,54.7,178.9,Unhealthy
