date,city,ph,water_temperature,turbidity,dissolved_oxygen,tds,wqi
2026-08-01,Raipur,7.1,25.4,3.8,6.7,310,84
2026-08-02,Raipur,7.2,25.8,4.1,6.5,318,82
2026-08-03,Raipur,7.0,26.1,4.5,6.4,325,80
2026-08-04,Raipur,7.3,26.0,3.6,6.8,305,86
2026-08-05,Raipur,7.2,26.4,4.2,6.6,315,83
2026-08-01,Delhi,7.4,27.2,5.2,6.1,360,76
2026-08-02,Delhi,7.3,27.5,5.5,6.0,372,74
2026-08-03,Delhi,7.2,27.8,6.1,5.8,385,71
2026-08-04,Delhi,7.1,28.0,6.4,5.7,395,69
2026-08-05,Delhi,7.3,27.7,5.8,5.9,378,72
2026-08-01,Mumbai,7.0,26.8,4.7,6.3,340,79
2026-08-02,Mumbai,7.1,27.0,4.9,6.2,345,78
2026-08-03,Mumbai,7.2,27.3,4.4,6.5,332,81
2026-08-04,Mumbai,7.0,27.1,5.1,6.1,350,77
2026-08-05,Mumbai,7.1,27.4,4.6,6.4,338,80
2026-08-01,Bengaluru,7.4,23.8,3.1,7.0,285,89
2026-08-02,Bengaluru,7.5,24.0,3.3,6.9,292,88
2026-08-03,Bengaluru,7.3,24.2,3.7,6.8,300,86
2026-08-04,Bengaluru,7.4,24.1,3.5,6.9,296,87
2026-08-05,Bengaluru,7.5,24.4,3.2,7.1,288,90
